treat_id,unit_name,pre_rmspe,post_rmspe,rmspe_ratio
22,Chongqing,0.10946041928351032,0.30441544238743407,2.7810549637945043
1,Beijing,0.05808865472750166,0.21398205476565704,3.6837151035682147
2,Tianjin,0.09862199934620137,0.40892643521252925,4.146401795983057
3,Hebei,0.044137796002495885,0.10537643657468809,2.3874421950912392
4,Shanxi,0.05099627838505932,0.20434976672291177,4.007150584203834
5,Inner Mongolia,0.06241600334336221,0.2407317547532243,3.8568915319507644
6,Liaoning,0.04933933539170171,0.2747386926939897,5.568350090508059
7,Jilin,0.02128812363641366,0.07932746609008638,3.7263719172691925
8,Heilongjlang,0.05482319667475386,0.2633219488330011,4.803111908909557
9,Shanghai,0.08728169336488213,0.12966915962683503,1.4856398246623332
10,Jiangsu,0.2425250558568296,0.12926613574173884,0.5330011585196741
12,Anhui,0.0839239511696396,0.11029261086595926,1.314197071620465
13,Fujian,0.033006954289510886,0.07905252316856046,2.3950262867386756
14,Jiangxi,0.018426803682122354,0.08003417113757218,4.34335615216985
15,Shandong,0.036414631403747004,0.05598267232099966,1.5373675405441325
16,Henan,0.0804680164160266,0.20742263821055817,2.5777028867987153
17,Hubei,0.01160174492533444,0.06173986241957966,5.3216014329671975
18,Hunan,0.07936414149148698,0.12253216032039783,1.5439234649005973
19,Guangdong,0.04909164584841033,0.09491128241886657,1.9333489594531479
20,Guangxi,0.0966282157731339,0.1914694278766276,1.981506398981476
21,Hainan,0.06291576518035866,0.12247239886058439,1.9466090654623145
24,Guizhou,0.13819235989621337,0.09357963386169807,0.6771693741389119
25,Yunnan,0.17980109526102236,0.18447099945662954,1.025972612618559
26,Tibet,0.8204304477400978,0.42633334509567117,0.5196459325345861
27,Shaanxi,0.03936499056471096,0.15434644994958352,3.9209065653364727
29,Qinghai,0.03725128707035847,0.10046688222661232,2.6970043219407485
30,Ningxia,0.054438191690843005,0.09298618516244521,1.7081056933433432
31,Xinjiang,0.21392150527701226,0.1603479537766338,0.7495644421957263
