phase,d_within,d_between,d_total,share_within,share_between
2009-2012,-0.027518092674238243,-0.01513447497663014,-0.04265256765086839,0.6451684901947042,0.3548315098052956
2013-2016,-0.01222023745346957,-0.010262462232245025,-0.02248269968571459,0.5435395937452411,0.45646040625475903
2017-2020,-0.01466409523698605,-0.004866912544180899,-0.01953100778116694,0.7508109873944201,0.2491890126055805
