event_time,estimate,se
-4,-0.2723,0.1799
-3,0.0148,0.1537
-2,-0.1943,0.1543
-1,-0.2988,0.1131
0,-0.1269,0.0514
1,-0.2695,0.1117
2,-0.2126,0.1015
3,-0.2702,0.0944
4,-0.346,0.1046
5,-0.3642,0.1173
6,-0.2859,0.1079
7,-0.1269,0.1509
8,-0.0973,0.171
9,-0.0756,0.1996
10,-0.108,0.2554
